REF_DATE,GEO,DGUID,Air passenger traffic,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2017,"Montréal/Pierre Elliott Trudeau International, Quebec",,Domestic sector,Number,223,units,0,v65779130,87.5,6580060,,,,0
2018,"Montréal/Pierre Elliott Trudeau International, Quebec",,Domestic sector,Number,223,units,0,v65779130,87.5,6795555,,,,0
2019,"Montréal/Pierre Elliott Trudeau International, Quebec",,Domestic sector,Number,223,units,0,v65779130,87.5,6895629,,,,0
2020,"Montréal/Pierre Elliott Trudeau International, Quebec",,Domestic sector,Number,223,units,0,v65779130,87.5,1930808,,,,0
2021,"Montréal/Pierre Elliott Trudeau International, Quebec",,Domestic sector,Number,223,units,0,v65779130,87.5,2314223,,,,0
2017,"Montréal/Pierre Elliott Trudeau International, Quebec",,Transborder sector,Number,223,units,0,v65779131,87.6,4013094,,,,0
2018,"Montréal/Pierre Elliott Trudeau International, Quebec",,Transborder sector,Number,223,units,0,v65779131,87.6,4322613,,,,0
2019,"Montréal/Pierre Elliott Trudeau International, Quebec",,Transborder sector,Number,223,units,0,v65779131,87.6,4442248,,,,0
2020,"Montréal/Pierre Elliott Trudeau International, Quebec",,Transborder sector,Number,223,units,0,v65779131,87.6,1032052,,,,0
2021,"Montréal/Pierre Elliott Trudeau International, Quebec",,Transborder sector,Number,223,units,0,v65779131,87.6,841824,,,,0
2017,"Montréal/Pierre Elliott Trudeau International, Quebec",,Other International sector,Number,223,units,0,v65779132,87.7,6962863,,,,0
2018,"Montréal/Pierre Elliott Trudeau International, Quebec",,Other International sector,Number,223,units,0,v65779132,87.7,7686356,,,,0
2019,"Montréal/Pierre Elliott Trudeau International, Quebec",,Other International sector,Number,223,units,0,v65779132,87.7,8240480,,,,0
2020,"Montréal/Pierre Elliott Trudeau International, Quebec",,Other International sector,Number,223,units,0,v65779132,87.7,2215337,,,,0
2021,"Montréal/Pierre Elliott Trudeau International, Quebec",,Other International sector,Number,223,units,0,v65779132,87.7,1820914,,,,0
2017,"Ottawa/Macdonald-Cartier International, Ontario",,"Total, passengers enplaned and deplaned",Number,223,units,0,v65779038,76.1,4796525,,,,0
2018,"Ottawa/Macdonald-Cartier International, Ontario",,"Total, passengers enplaned and deplaned",Number,223,units,0,v65779038,76.1,4979875,,,,0
2019,"Ottawa/Macdonald-Cartier International, Ontario",,"Total, passengers enplaned and deplaned",Number,223,units,0,v65779038,76.1,4971789,,,,0
2020,"Ottawa/Macdonald-Cartier International, Ontario",,"Total, passengers enplaned and deplaned",Number,223,units,0,v65779038,76.1,1339541,,,,0
2021,"Ottawa/Macdonald-Cartier International, Ontario",,"Total, passengers enplaned and deplaned",Number,223,units,0,v65779038,76.1,1122306,,,,0
2017,"Ottawa/Macdonald-Cartier International, Ontario",,Domestic sector,Number,223,units,0,v65779042,76.5,3787543,,,,0
2018,"Ottawa/Macdonald-Cartier International, Ontario",,Domestic sector,Number,223,units,0,v65779042,76.5,3886994,,,,0
2019,"Ottawa/Macdonald-Cartier International, Ontario",,Domestic sector,Number,223,units,0,v65779042,76.5,3870174,,,,0
2020,"Ottawa/Macdonald-Cartier International, Ontario",,Domestic sector,Number,223,units,0,v65779042,76.5,1017072,,,,0
2021,"Ottawa/Macdonald-Cartier International, Ontario",,Domestic sector,Number,223,units,0,v65779042,76.5,1098569,,,,0
2017,"Ottawa/Macdonald-Cartier International, Ontario",,Transborder sector,Number,223,units,0,v65779043,76.6,629793,,,,0
2018,"Ottawa/Macdonald-Cartier International, Ontario",,Transborder sector,Number,223,units,0,v65779043,76.6,712719,,,,0
2019,"Ottawa/Macdonald-Cartier International, Ontario",,Transborder sector,Number,223,units,0,v65779043,76.6,680721,,,,0
2020,"Ottawa/Macdonald-Cartier International, Ontario",,Transborder sector,Number,223,units,0,v65779043,76.6,161744,,,,0
2021,"Ottawa/Macdonald-Cartier International, Ontario",,Transborder sector,Number,223,units,0,v65779043,76.6,11684,,,,0
2017,"Ottawa/Macdonald-Cartier International, Ontario",,Other International sector,Number,223,units,0,v65779044,76.7,379189,,,,0
2018,"Ottawa/Macdonald-Cartier International, Ontario",,Other International sector,Number,223,units,0,v65779044,76.7,380162,,,,0
2019,"Ottawa/Macdonald-Cartier International, Ontario",,Other International sector,Number,223,units,0,v65779044,76.7,420894,,,,0
2020,"Ottawa/Macdonald-Cartier International, Ontario",,Other International sector,Number,223,units,0,v65779044,76.7,160725,,,,0
2021,"Ottawa/Macdonald-Cartier International, Ontario",,Other International sector,Number,223,units,0,v65779044,76.7,12053,,,,0
2017,"Toronto/Lester B Pearson International, Ontario",,"Total, passengers enplaned and deplaned",Number,223,units,0,v65779614,161.1,45884420,,,,0
2018,"Toronto/Lester B Pearson International, Ontario",,"Total, passengers enplaned and deplaned",Number,223,units,0,v65779614,161.1,48494047,,,,0
2019,"Toronto/Lester B Pearson International, Ontario",,"Total, passengers enplaned and deplaned",Number,223,units,0,v65779614,161.1,49187804,,,,0
2020,"Toronto/Lester B Pearson International, Ontario",,"Total, passengers enplaned and deplaned",Number,223,units,0,v65779614,161.1,12996101,,,,0
2021,"Toronto/Lester B Pearson International, Ontario",,"Total, passengers enplaned and deplaned",Number,223,units,0,v65779614,161.1,12368926,,,,0
2017,"Toronto/Lester B Pearson International, Ontario",,Domestic sector,Number,223,units,0,v65779618,161.5,17239092,,,,0
2018,"Toronto/Lester B Pearson International, Ontario",,Domestic sector,Number,223,units,0,v65779618,161.5,17681786,,,,0
2019,"Toronto/Lester B Pearson International, Ontario",,Domestic sector,Number,223,units,0,v65779618,161.5,17680397,,,,0
2020,"Toronto/Lester B Pearson International, Ontario",,Domestic sector,Number,223,units,0,v65779618,161.5,5246394,,,,0
2021,"Toronto/Lester B Pearson International, Ontario",,Domestic sector,Number,223,units,0,v65779618,161.5,6525784,,,,0
2017,"Toronto/Lester B Pearson International, Ontario",,Transborder sector,Number,223,units,0,v65779619,161.6,12621260,,,,0
2018,"Toronto/Lester B Pearson International, Ontario",,Transborder sector,Number,223,units,0,v65779619,161.6,13462206,,,,0
2019,"Toronto/Lester B Pearson International, Ontario",,Transborder sector,Number,223,units,0,v65779619,161.6,13624780,,,,0
2020,"Toronto/Lester B Pearson International, Ontario",,Transborder sector,Number,223,units,0,v65779619,161.6,3001042,,,,0
2021,"Toronto/Lester B Pearson International, Ontario",,Transborder sector,Number,223,units,0,v65779619,161.6,2241991,,,,0
2017,"Toronto/Lester B Pearson International, Ontario",,Other International sector,Number,223,units,0,v65779620,161.7,16024068,,,,0
2018,"Toronto/Lester B Pearson International, Ontario",,Other International sector,Number,223,units,0,v65779620,161.7,17350055,,,,0
2019,"Toronto/Lester B Pearson International, Ontario",,Other International sector,Number,223,units,0,v65779620,161.7,17882627,,,,0
2020,"Toronto/Lester B Pearson International, Ontario",,Other International sector,Number,223,units,0,v65779620,161.7,4748665,,,,0
2021,"Toronto/Lester B Pearson International, Ontario",,Other International sector,Number,223,units,0,v65779620,161.7,3601151,,,,0
